question_id,surface,detected,render_as,declared_code_language,already_fenced,chars
QST-mhsb9ctp310m,choice_expl:CHO-j584rt9jwb4r,php,inline,,no,75
QST-mhsb9ctp310m,choice_expl:CHO-xysx9w1afwm6,php,inline,,no,80
QST-mhsb9ctp310m,explanation,php,inline,,no,323
QST-mhsb9ctp310m,prompt,php,inline,,no,133
QST-4rr5p2mvc7g5,prompt,php,inline,,no,151
QST-cxq2pvqpazts,explanation,php,inline,php,no,131
QST-cxq2pvqpazts,prompt,php,inline,php,no,95
QST-0yt0wew1kzge,choice:CHO-6j85mwmb7gpc,php,inline,,no,68
QST-0yt0wew1kzge,choice:CHO-8g1jhp6xqxjm,php,inline,,no,33
QST-0yt0wew1kzge,choice:CHO-ha2he34w2kgc,php,inline,,no,32
QST-0yt0wew1kzge,choice:CHO-ymvfw8d22ysj,php,inline,,no,60
QST-0yt0wew1kzge,choice_expl:CHO-ha2he34w2kgc,php,inline,,no,54
QST-0yt0wew1kzge,explanation,php,inline,,no,173
QST-0va8e7fh5szw,prompt,php,inline,,no,81
QST-2gvnfhbwzpaa,choice:CHO-576qsd64x3n4,http,inline,,no,22
QST-g3sw71qz8dnq,choice:CHO-4j1ephfqa2k3,php,inline,,no,21
QST-g3sw71qz8dnq,choice:CHO-ajf606w6b1p8,php,inline,,no,32
QST-g3sw71qz8dnq,choice:CHO-atxmbfzqb84a,php,inline,,no,44
QST-g3sw71qz8dnq,choice:CHO-dkm14g24rz7m,php,inline,,no,27
QST-hnjpg1kv733t,prompt,php,inline,php,no,126
QST-r6wwzwfx7mqc,choice:CHO-a95636d9vxgw,php,inline,,no,23
QST-r6wwzwfx7mqc,choice:CHO-j389fdf6w1m3,php,inline,,no,29
QST-r6wwzwfx7mqc,choice:CHO-qh4q1wvw4ewn,php,inline,,no,28
QST-r6wwzwfx7mqc,choice_expl:CHO-a95636d9vxgw,php,inline,,no,93
QST-z116xknpac5j,prompt,php,inline,,no,129
QST-57p6cnh69c68,choice_expl:CHO-e5zyw9jqq7ze,php,inline,php,no,84
QST-57p6cnh69c68,prompt,php,block,php,yes,245
QST-kk9459fpx2v0,explanation,php,inline,,no,233
QST-kk9459fpx2v0,prompt,php,inline,,no,112
QST-vzjgas8c9fd1,explanation,php,inline,,no,188
QST-vzjgas8c9fd1,prompt,php,inline,,no,160
QST-0rxv1000z941,prompt,php,inline,,no,148
QST-chxqtjssb1tr,prompt,php,inline,,no,83
QST-8j24mgbaymwp,choice:CHO-amps9d4bhcka,php,inline,,no,167
QST-8j24mgbaymwp,choice:CHO-zczsw534ce5q,php,inline,,no,173
QST-8j24mgbaymwp,choice_expl:CHO-amps9d4bhcka,php,inline,,no,96
QST-7a895vbfsd6h,choice:CHO-fhhzskb2mgk5,php,inline,,no,144
QST-7a895vbfsd6h,choice:CHO-hc37tgxyhhat,php,inline,,no,192
QST-7a895vbfsd6h,choice:CHO-n5hhqtagnre8,php,inline,,no,184
QST-7a895vbfsd6h,choice:CHO-r4hrk1rv5jr1,php,inline,,no,141
QST-7a895vbfsd6h,choice_expl:CHO-fhhzskb2mgk5,php,inline,,no,88
QST-7a895vbfsd6h,choice_expl:CHO-hc37tgxyhhat,php,inline,,no,139
QST-7a895vbfsd6h,choice_expl:CHO-r4hrk1rv5jr1,php,inline,,no,63
QST-7a895vbfsd6h,explanation,php,inline,,no,208
QST-7a895vbfsd6h,prompt,php,inline,,no,98
QST-h0x1bk6pjv23,choice:CHO-ydvpq3b1dkef,php,inline,,no,188
QST-h0x1bk6pjv23,explanation,php,inline,,no,248
QST-zax1wr1gy24e,choice:CHO-g42yqnjv1rhg,php,inline,,no,97
QST-zax1wr1gy24e,choice_expl:CHO-4gz6jf640q3z,php,inline,,no,99
QST-zax1wr1gy24e,explanation,php,inline,,no,164
QST-tex0099enajm,choice:CHO-5bb5zreastvr,php,inline,,no,25
QST-tex0099enajm,choice:CHO-q1m0v59hp4ah,php,inline,,no,36
QST-tex0099enajm,choice:CHO-x0es4fdvdjgr,php,inline,,no,31
QST-8xa9f65f4yr4,choice:CHO-hzrxx0xdpe49,php-attribute,inline,,no,164
QST-8xa9f65f4yr4,choice:CHO-n8kn87vb39p2,php-attribute,inline,,no,170
QST-8xa9f65f4yr4,choice_expl:CHO-hzrxx0xdpe49,php-attribute,inline,,no,98
QST-kyp8v8zrb8r3,explanation,php,inline,,no,163
QST-dnxpede76ew1,choice_expl:CHO-k3y6n79bxxjc,php-attribute,inline,,no,56
QST-dnxpede76ew1,prompt,php,inline,,no,111
QST-2vj8n6hfss62,choice_expl:CHO-wh11e9wjtb36,php-attribute,inline,,no,64
QST-da21bxhgtjcr,choice:CHO-pnpbejbxhctz,php,inline,,no,64
QST-ahd7kee2rcdn,explanation,php,inline,,no,186
QST-ahd7kee2rcdn,prompt,php,inline,,no,155
QST-f1y8ffw897x7,prompt,php,inline,,no,163
QST-11nk5754rpdh,explanation,php,inline,,no,169
QST-rh33zfabnd6v,choice:CHO-15dz643bmjzv,php,inline,,no,32
QST-rh33zfabnd6v,choice:CHO-b2ywk2mnafsn,php,inline,,no,43
QST-rh33zfabnd6v,choice:CHO-b7jbpk04p6h9,php,inline,,no,39
QST-rh33zfabnd6v,choice:CHO-c16ak1f32php,php,inline,,no,51
QST-rh33zfabnd6v,explanation,php,inline,,no,109
QST-w5n16306gg5v,prompt,php,inline,,no,68
QST-8gc5zq1h2p98,prompt,php,inline,,no,52
QST-5kn8tfb5k3s3,explanation,php,inline,,no,117
QST-5kn8tfb5k3s3,prompt,php,inline,,no,132
QST-myjwe916hpfp,prompt,php|php-attribute,inline,,no,120
QST-wqmsve0rpm50,prompt,php,inline,,no,97
QST-bm2jqyvpp3hg,choice:CHO-9a9n3jzcfem7,php,inline,,no,119
QST-bm2jqyvpp3hg,choice:CHO-srg3fjwetybc,php,inline,,no,99
QST-bm2jqyvpp3hg,choice_expl:CHO-9a9n3jzcfem7,php,inline,,no,120
QST-bm2jqyvpp3hg,explanation,php,inline,,no,164
QST-hffdkwmscd0p,choice:CHO-7w94r99hbnaw,php-attribute,inline,,no,114
QST-hffdkwmscd0p,choice:CHO-h1ebeftt3ss1,php,inline,,no,108
QST-hffdkwmscd0p,explanation,php|php-attribute,inline,,no,188
QST-gbccz7ynvbd2,choice:CHO-cv24rq3k3vhe,php,inline,,no,71
QST-gbccz7ynvbd2,choice:CHO-jwdpfvprsqcd,php,inline,,no,81
QST-gbccz7ynvbd2,explanation,php,inline,,no,210
QST-pg8rnbwrhn85,explanation,php,inline,,no,237
QST-pg8rnbwrhn85,prompt,php,inline,,no,145
QST-5jrgjrw4vr7c,choice:CHO-wme48mtym4wh,php,inline,,no,92
QST-5jrgjrw4vr7c,explanation,php,inline,,no,150
QST-ygz3yc3dy4qb,explanation,php,inline,,no,199
QST-wrd26d867k2d,explanation,twig,inline,,no,196
QST-bv3s8kewdfyw,choice:CHO-bytnbqszfr7m,php|php-attribute,inline,,no,127
QST-bv3s8kewdfyw,choice:CHO-qprtm7asddpe,php-attribute,inline,,no,120
QST-bv3s8kewdfyw,choice:CHO-t4nhd730nzth,php-attribute,inline,,no,107
QST-bv3s8kewdfyw,explanation,php-attribute,inline,,no,154
QST-t8j3vg4s1y9q,choice:CHO-2e42ht2dv4jz,php-attribute,inline,,no,127
QST-sy8yv5y6kfbe,explanation,php-attribute,inline,,no,200
QST-nzk49a60g2w7,explanation,php,inline,,no,211
QST-8ga6z9sfbv40,explanation,php,inline,,no,112
QST-zre5tj917bfe,explanation,php-attribute,inline,,no,225
QST-sx1wkkf00607,prompt,php,inline,,no,89
QST-y7mf6hamqsq3,prompt,php,inline,,no,99
QST-0negxbfbe972,prompt,php-attribute,inline,,no,105
QST-z6cmycq8x4s9,choice:CHO-w3qzvqpbjyg4,php-attribute,inline,,no,51
QST-z6cmycq8x4s9,explanation,php-attribute,inline,,no,221
QST-2xamk5ahfyyn,choice:CHO-6e4cyz93wmrf,php,inline,,no,11
QST-2xamk5ahfyyn,choice:CHO-cjr0d789jagw,php,inline,,no,11
QST-2xamk5ahfyyn,choice:CHO-epcfdct0bs5a,php,inline,,no,14
QST-2xamk5ahfyyn,choice:CHO-zqx7aqm88p3r,php,inline,,no,9
QST-2xamk5ahfyyn,prompt,twig,inline,,no,52
QST-1s9t39gm4yfj,choice:CHO-1s6hzzd6v8cx,twig,inline,,no,7
QST-1s9t39gm4yfj,choice:CHO-3kkr99r417a5,twig,inline,,no,7
QST-1s9t39gm4yfj,choice:CHO-x5tx5aw56mfk,twig,inline,,no,7
QST-1s9t39gm4yfj,explanation,twig,inline,,no,78
QST-mr5y3tea9rgw,prompt,twig,inline,,no,112
QST-81q6m585fqxs,choice:CHO-bzd7g8wj0w8q,twig,inline,,no,32
QST-81q6m585fqxs,choice:CHO-qy7tpps7e005,twig,inline,,no,42
QST-81q6m585fqxs,explanation,twig,inline,,no,156
QST-kpt3rdmkphrw,choice:CHO-x8gdj8tbdcnp,twig,inline,,no,40
QST-kpt3rdmkphrw,choice_expl:CHO-x8gdj8tbdcnp,twig,inline,,no,44
QST-kvtpnyrtd4xj,choice:CHO-jd1w6dgfnemt,twig,inline,,no,11
QST-kvtpnyrtd4xj,choice:CHO-r16qyakp09yz,twig,inline,,no,13
QST-kvtpnyrtd4xj,choice:CHO-wsk573kg466y,twig,inline,,no,13
QST-kvtpnyrtd4xj,choice:CHO-yfwbped9aema,twig,inline,,no,9
QST-12bq5dm5yc6s,choice:CHO-awmr3s3jyrjg,twig,inline,,no,39
QST-12bq5dm5yc6s,explanation,twig,inline,,no,119
QST-s7bzj5nsnw1g,choice:CHO-9a11q2tjh0th,twig,inline,,no,37
QST-s7bzj5nsnw1g,choice:CHO-eyfxaf8tk2tt,php|twig,inline,,no,67
QST-s7bzj5nsnw1g,choice:CHO-p3vrkd53z3wb,php|twig,inline,,no,56
QST-s7bzj5nsnw1g,choice:CHO-t0d7vt1wmnk0,php|twig,inline,,no,59
QST-z1dcqdz8cm6a,prompt,twig,inline,,no,58
QST-sgmgf58d4tja,prompt,twig,inline,,no,74
QST-9qdj97kmt1m5,prompt,twig,inline,,no,52
QST-vxqaxft9nswc,explanation,twig,inline,,no,159
QST-3jktevqe7e4z,explanation,twig,inline,,no,161
QST-rmsv83rmgrz3,choice:CHO-0s4y0nnskqrk,php,inline,,no,47
QST-b4y5mz01a7na,explanation,php,inline,,no,145
QST-fy9ptsw9q7d7,prompt,php,inline,,no,82
QST-h3r0j23kcfbe,choice:CHO-0be1r2vrrrjt,php,inline,,no,32
QST-h3r0j23kcfbe,choice:CHO-bqj5c52rszkm,php,inline,,no,33
QST-h3r0j23kcfbe,choice:CHO-t8abfw7z8x3s,php,inline,,no,31
QST-h3r0j23kcfbe,choice:CHO-xphzp0rns9tv,php,inline,,no,33
QST-mc97gbqdk57v,explanation,php,inline,,no,127
QST-ypbv08h18qzf,explanation,php,inline,,no,116
QST-ga6bhvbf0ecp,prompt,php,inline,,no,137
QST-m5f3k7za0tpt,choice:CHO-rdzvzpe99274,php,inline,,no,67
QST-m5f3k7za0tpt,choice:CHO-sy158azmqxdg,php,inline,,no,32
QST-m5f3k7za0tpt,choice:CHO-tmg3d37r3r1w,php,inline,,no,45
QST-m5f3k7za0tpt,choice:CHO-zbh7ty5jenrz,php,inline,,no,44
QST-m5f3k7za0tpt,prompt,php,inline,,no,133
QST-g22z7fmy0cg3,choice:CHO-0m0rk49kg7mx,php|php-attribute,inline,,no,50
QST-g22z7fmy0cg3,choice:CHO-bbhtnce91gx1,php|php-attribute,inline,,no,48
QST-5ryp5r5qg631,prompt,php-attribute,inline,,no,107
QST-1c6zphv3dzgc,choice:CHO-2y41w0ypta8j,php,inline,,no,39
QST-467dyvf9ht74,prompt,php-attribute,inline,,no,100
QST-h9d44gg643q8,prompt,php,inline,,no,116
QST-mhm4eqjg10s2,choice:CHO-ksfp8e1yy56s,php,inline,,no,58
QST-mhm4eqjg10s2,explanation,php,inline,,no,209
QST-egqjqhe0s1vv,choice:CHO-6asfehxeqs85,php,inline,,no,31
QST-egqjqhe0s1vv,choice:CHO-j778qtb2f27r,php,inline,,no,42
QST-r3bv4np3ttcs,choice:CHO-7gjkrdac6qms,php,inline,,no,17
QST-r3bv4np3ttcs,choice:CHO-dfr2eh1wvz54,php,inline,,no,23
QST-r3bv4np3ttcs,choice:CHO-syghn4bd2rk5,php,inline,,no,16
QST-r3bv4np3ttcs,choice:CHO-y2gcznthrse4,php|twig,inline,,no,35
QST-r3bv4np3ttcs,prompt,twig,inline,,no,106
QST-ttahda62q0me,choice:CHO-1wvasvyd770p,php-attribute,inline,,no,33
QST-b9cxe8hzrxnz,prompt,php,inline,,no,119
QST-3zf09tnf1rkj,choice:CHO-xf7dyf0db0mn,php,inline,,no,44
QST-wdn59cym1fv8,explanation,php-attribute,inline,,no,150
QST-xw4d2n9a8hz5,choice:CHO-4jbrpgyn1z4x,php,inline,,no,24
QST-egkw6pqr1hvq,choice:CHO-t690fg4v8kq1,php,inline,,no,76
QST-gscp8fh16xed,explanation,php-attribute,inline,,no,149
QST-gscp8fh16xed,prompt,php-attribute,inline,,no,40
QST-qh1cbg5wp55k,choice:CHO-5sv5vr6t7r8b,php,inline,,no,49
QST-1zvtze0w6a5p,choice:CHO-74g43hssxqex,php-attribute,inline,,no,68
QST-1zvtze0w6a5p,choice:CHO-f4dyet44vw5h,php-attribute,inline,,no,38
QST-1zvtze0w6a5p,explanation,php-attribute,inline,,no,214
QST-c12z17ez0ss5,explanation,php,inline,,no,206
QST-c12z17ez0ss5,prompt,php,inline,,no,95
QST-smjza039q4hw,choice:CHO-1ymv3mjm8tfs,php-attribute,inline,,no,10
QST-smjza039q4hw,choice:CHO-6e8jbvfc01e3,php-attribute,inline,,no,7
QST-smjza039q4hw,choice:CHO-r50b2yfvfe5x,php-attribute,inline,,no,16
QST-smjza039q4hw,choice:CHO-whr3dvdh9e8z,php-attribute,inline,,no,10
QST-smjza039q4hw,choice_expl:CHO-1ymv3mjm8tfs,php-attribute,inline,,no,50
QST-smjza039q4hw,choice_expl:CHO-6e8jbvfc01e3,php-attribute,inline,,no,109
QST-smjza039q4hw,choice_expl:CHO-r50b2yfvfe5x,php-attribute,inline,,no,77
QST-smjza039q4hw,explanation,php-attribute,inline,,no,203
QST-a1avrk2v0k2t,prompt,php-attribute,inline,,no,95
QST-dbs1pm3v1np1,prompt,php-attribute,inline,,no,104
QST-472n92c01v8z,prompt,php,inline,,no,56
QST-863psghen6px,choice:CHO-m6nx3x8gngf7,php,inline,,no,41
QST-s9dqp9mfqfrx,choice:CHO-mxw65mdqqpz5,php,inline,,no,37
QST-gbzpgycr1r6g,choice:CHO-er18n0dz81wx,php-attribute,inline,,no,46
QST-gbzpgycr1r6g,explanation,php-attribute,inline,,no,91
QST-tvce4echjywq,explanation,php-attribute,inline,,no,109
QST-bw6j8k17fx9c,prompt,php-attribute,inline,,no,45
QST-y48awnf4nfnx,explanation,php,inline,,no,138
QST-y48awnf4nfnx,prompt,php,inline,,no,145
QST-svybdxxreygm,prompt,php|php-attribute,inline,,no,121
QST-agnyym2anznf,choice:CHO-8wbjwntrjcnv,php|php-attribute,inline,,no,24
QST-agnyym2anznf,choice:CHO-fbfd1dwtn0gk,php|php-attribute,inline,,no,32
QST-agnyym2anznf,choice:CHO-stq38q0yz1sj,php|php-attribute,inline,,no,29
QST-agnyym2anznf,choice:CHO-v3kw18yg0qmj,php|php-attribute,inline,,no,29
QST-tp80nqtxvarw,prompt,php,inline,,no,46
QST-kk4evk9seycg,choice:CHO-y8dmhxfdq2yb,shell,inline,,no,11
QST-kk4evk9seycg,explanation,shell,inline,,no,163
QST-qznc9nx72jdq,prompt,php,inline,,no,46
QST-7v7dsbmdfdgt,explanation,php,inline,,no,100
QST-ecx7f7257q6m,choice:CHO-d370xqx7722y,php,inline,,no,63
QST-ecx7f7257q6m,choice_expl:CHO-d370xqx7722y,php,inline,,no,50
