question_id,file,lot,official_topic,official_item_id,official_item,difficulty,answer_mode,required_answer_count,correct_choices,choices,cognitive_level,exam_skill,archetype,code_language,estimated_time_seconds,assesses_outcomes,course_refs,course_url,sources,classification
QST-99hmydsyg0qy,lot-01-php.yml,lot-01,PHP,OIT-hqz5c2qse24w,Enums,medium,single,1,1,4,APPLY,DIAGNOSE,SCENARIO_CHOICE,php,60,OUT-6az3084jk5xb,CRS-3sggmeyd01x6,/docs/courses/lot-01/enums,1,CODE_INLINE_PRESENT
QST-6bn09p657t3v,lot-01-php.yml,lot-01,PHP,OIT-hqz5c2qse24w,Enums,hard,multiple,2,2,4,KNOW,DISTINGUISH,API_SIGNATURE,,75,OUT-c6mz3z761kqd,CRS-3sggmeyd01x6,/docs/courses/lot-01/enums,1,READY_FOR_NEW_UI
QST-tc50z9v9egjv,lot-01-php.yml,lot-01,PHP,OIT-vt0p9cacpkpd,Interfaces,hard,single,1,1,4,APPLY,DIAGNOSE,BEHAVIOR_PREDICTION,,60,OUT-7vt306wrfkb7,CRS-e4y7gtn5k4f0,/docs/courses/lot-01/interfaces,1,READY_FOR_NEW_UI
QST-b807cvrtscf6,lot-01-php.yml,lot-01,PHP,OIT-46ry8d7dypmb,PHP API up to PHP 8.4 version,medium,single,1,1,4,APPLY,DIAGNOSE,BEHAVIOR_PREDICTION,,55,OUT-ayahqn48ev7g,CRS-722pscs6e2m0,/docs/courses/lot-01/php-api-up-to-php-8-4-version,1,CODE_INLINE_PRESENT
QST-jhjytdhnzhew,lot-01-php.yml,lot-01,PHP,OIT-ywrx9x3hg9z8,Object Oriented Programming,hard,single,1,1,4,APPLY,DIAGNOSE,BEHAVIOR_PREDICTION,,70,OUT-qcb24vqg8pkt,CRS-3424z948caan,/docs/courses/lot-01/object-oriented-programming,1,CODE_INLINE_PRESENT
QST-2hamhd680ksn,lot-01-php.yml,lot-01,PHP,OIT-webdvbgbrfth,Abstract classes,medium,single,1,1,4,KNOW,RECOGNIZE,API_SIGNATURE,,45,OUT-fs6z2g5dv4qq,CRS-0jtjh77tabt1,/docs/courses/lot-01/abstract-classes,1,READY_FOR_NEW_UI
QST-e36h79gzw9gn,lot-01-php.yml,lot-01,PHP,OIT-bvnvx2b6yt2y,Exception and error handling,hard,single,1,1,4,APPLY,DIAGNOSE,SEQUENCE_ORDER,,65,OUT-xrckdfqa6x5n,CRS-yc9fry0vz4gh,/docs/courses/lot-01/exception-and-error-handling,1,CODE_INLINE_PRESENT
QST-604t8tj8gx9c,lot-01-php.yml,lot-01,PHP,OIT-1kjqdnryaw0h,Attributes,hard,single,1,1,4,APPLY,DIAGNOSE,BEHAVIOR_DIAGNOSIS,,75,OUT-0rkkxvd0e76f,CRS-tqcp2kn9r3b5,/docs/courses/lot-01/attributes,1,CODE_INLINE_PRESENT
QST-mhsb9ctp310m,lot-01-php.yml,lot-01,PHP,OIT-fhb3vz7xbt5h,Anonymous functions and closures,hard,single,1,1,4,APPLY,DIAGNOSE,BEHAVIOR_DIAGNOSIS,,75,OUT-pj3m73g0x58y,CRS-e7m4xbcxegyc,/docs/courses/lot-01/anonymous-functions-and-closures,1,CODE_INLINE_PRESENT
QST-4rr5p2mvc7g5,lot-01-php.yml,lot-01,PHP,OIT-n0zfkcr189af,Traits,hard,single,1,1,4,APPLY,DIAGNOSE,BEHAVIOR_DIAGNOSIS,,75,OUT-x8c9nce1wqh5,CRS-bshgpd44ykba,/docs/courses/lot-01/traits,1,CODE_INLINE_PRESENT
QST-6t35fhgzx5x2,lot-01-php.yml,lot-01,PHP,OIT-webdvbgbrfth,Abstract classes,hard,single,1,1,4,APPLY,DIAGNOSE,BEHAVIOR_DIAGNOSIS,,75,OUT-fs6z2g5dv4qq,CRS-0jtjh77tabt1,/docs/courses/lot-01/abstract-classes,1,READY_FOR_NEW_UI
QST-f2m90kz2ya28,lot-01-php.yml,lot-01,PHP,OIT-46ry8d7dypmb,PHP API up to PHP 8.4 version,hard,multiple,2,2,4,UNDERSTAND,DISTINGUISH,VERSION_ATTRIBUTION,,90,OUT-ayahqn48ev7g,CRS-722pscs6e2m0,/docs/courses/lot-01/php-api-up-to-php-8-4-version,1,READY_FOR_NEW_UI
QST-ktj89z3z3d5c,lot-02-http.yml,lot-02,HTTP,OIT-7801mj6w73ky,HTTP Specification (RFC 9110),easy,single,1,1,4,KNOW,RECOGNIZE,DEFINITION_RECALL,,40,OUT-6w2h5pvzsg06,CRS-depbnbc0g82x,/docs/courses/lot-02/http-specification-rfc-9110,1,READY_FOR_NEW_UI
QST-cxq2pvqpazts,lot-02-http.yml,lot-02,HTTP,OIT-d3nyk9z0q2pd,HTTP request,medium,single,1,1,4,APPLY,DIAGNOSE,CODE_DIAGNOSIS,php,65,OUT-8beznche62fc|OUT-w17b65zev3y5,CRS-222wq64mqxye,/docs/courses/lot-02/http-request,1,CODE_INLINE_PRESENT
QST-0yt0wew1kzge,lot-02-http.yml,lot-02,HTTP,OIT-d3nyk9z0q2pd,HTTP request,medium,multiple,2,2,4,KNOW,DISTINGUISH,CONCEPT_DISTINCTION,,70,OUT-hm4eajgn6rks,CRS-222wq64mqxye,/docs/courses/lot-02/http-request,1,CODE_INLINE_PRESENT
QST-8twgxeyvsp73,lot-02-http.yml,lot-02,HTTP,OIT-jh06tkfrhthq,HTTP response,hard,single,1,1,4,UNDERSTAND,DISTINGUISH,BEHAVIOR_PREDICTION,,75,OUT-2ekazygpee7h,CRS-hdsq2qdz7qdv,/docs/courses/lot-02/http-response,1,READY_FOR_NEW_UI
QST-xbkvhs464f4r,lot-02-http.yml,lot-02,HTTP,OIT-qnm508g1ktqm,HTTP methods,hard,multiple,2,2,4,UNDERSTAND,DISTINGUISH,CONCEPT_DISTINCTION,,70,OUT-yfskr4jf463t,CRS-erfvgqsx1z2p,/docs/courses/lot-02/http-methods,1,READY_FOR_NEW_UI
QST-0va8e7fh5szw,lot-02-http.yml,lot-02,HTTP,OIT-qnm508g1ktqm,HTTP methods,medium,single,1,1,4,KNOW,RECOGNIZE,API_SIGNATURE,,60,OUT-pvvwmsfr9v99,CRS-erfvgqsx1z2p,/docs/courses/lot-02/http-methods,1,CODE_INLINE_PRESENT
QST-kc7stf86x9jh,lot-02-http.yml,lot-02,HTTP,OIT-bz1f5nh8g9b2,Cookies,medium,single,1,1,4,APPLY,DIAGNOSE,BEHAVIOR_DIAGNOSIS,,60,OUT-z584m37h6jj1,CRS-7fa2behkxmf9,/docs/courses/lot-02/cookies,1,READY_FOR_NEW_UI
QST-1jpkm1x11jb8,lot-02-http.yml,lot-02,HTTP,OIT-tc39jp8japfc,Caching,hard,single,1,1,4,KNOW,DISTINGUISH,CONCEPT_DISTINCTION,,65,OUT-c5rwk67m9qxc,CRS-e3j0d3a8ndrf,/docs/courses/lot-02/caching,1,READY_FOR_NEW_UI
QST-2gvnfhbwzpaa,lot-02-http.yml,lot-02,HTTP,OIT-tc39jp8japfc,Caching,hard,single,1,1,4,APPLY,DIAGNOSE,BEHAVIOR_DIAGNOSIS,,75,OUT-mepzxqmzgxss,CRS-e3j0d3a8ndrf,/docs/courses/lot-02/caching,1,CODE_INLINE_PRESENT
QST-r4sq1djrd7pj,lot-02-http.yml,lot-02,HTTP,OIT-mrvrtxm4v2m5,Content negotiation,medium,single,1,1,4,KNOW,RECOGNIZE,DEFINITION_RECALL,,55,OUT-em6af2cxwyj0,CRS-dab7evz3fe29,/docs/courses/lot-02/content-negotiation,1,READY_FOR_NEW_UI
QST-g3sw71qz8dnq,lot-02-http.yml,lot-02,HTTP,OIT-fhjmv9w3wxsb,Language detection,medium,single,1,1,4,APPLY,DIAGNOSE,API_SIGNATURE,,60,OUT-asmwtw5t98t8,CRS-qa0x33akw264,/docs/courses/lot-02/language-detection,1,CODE_INLINE_PRESENT
QST-hnjpg1kv733t,lot-02-http.yml,lot-02,HTTP,OIT-9kh5cqz5qtrb,Symfony HttpClient component,hard,single,1,1,4,APPLY,DIAGNOSE,CODE_DIAGNOSIS,php,80,OUT-t602yfbqy21b|OUT-81pzmq0sf6k9,CRS-ez2qmqfk902e,/docs/courses/lot-02/symfony-httpclient-component,1,CODE_INLINE_PRESENT
QST-r6wwzwfx7mqc,lot-02-http.yml,lot-02,HTTP,OIT-9kh5cqz5qtrb,Symfony HttpClient component,medium,single,1,1,4,KNOW,DISTINGUISH,API_SIGNATURE,,60,OUT-9bcphcvp1dp0,CRS-ez2qmqfk902e,/docs/courses/lot-02/symfony-httpclient-component,1,CODE_INLINE_PRESENT
QST-s1btydv64pas,lot-02-http.yml,lot-02,HTTP,OIT-7801mj6w73ky,HTTP Specification (RFC 9110),medium,single,1,1,4,UNDERSTAND,DISTINGUISH,CONCEPT_DISTINCTION,,45,OUT-y8177jvv3m21,CRS-depbnbc0g82x,/docs/courses/lot-02/http-specification-rfc-9110,1,READY_FOR_NEW_UI
QST-6mzvc5xvgyqe,lot-02-http.yml,lot-02,HTTP,OIT-512se83ab7qj,Status codes,medium,single,1,1,4,APPLY,DISTINGUISH,SCENARIO_CHOICE,,45,OUT-7hfm105c194h,CRS-984c2bv3wh09,/docs/courses/lot-02/status-codes,1,READY_FOR_NEW_UI
QST-z116xknpac5j,lot-02-http.yml,lot-02,HTTP,OIT-d3nyk9z0q2pd,HTTP request,hard,single,1,1,4,KNOW,RECOGNIZE,API_SIGNATURE,,45,OUT-g11rrz2thqp0,CRS-222wq64mqxye,/docs/courses/lot-02/http-request,1,CODE_INLINE_PRESENT
QST-yv4xj79w1aax,lot-02-http.yml,lot-02,HTTP,OIT-jh06tkfrhthq,HTTP response,medium,single,1,1,4,UNDERSTAND,DISTINGUISH,BEHAVIOR_PREDICTION,,45,OUT-p5kb8nhzd8hm,CRS-hdsq2qdz7qdv,/docs/courses/lot-02/http-response,1,READY_FOR_NEW_UI
QST-yhpgxnb32k7a,lot-02-http.yml,lot-02,HTTP,OIT-qnm508g1ktqm,HTTP methods,medium,single,1,1,4,UNDERSTAND,DISTINGUISH,CONCEPT_DISTINCTION,,45,OUT-vx89t3yy7xck,CRS-erfvgqsx1z2p,/docs/courses/lot-02/http-methods,1,READY_FOR_NEW_UI
QST-57p6cnh69c68,lot-02-http.yml,lot-02,HTTP,OIT-bz1f5nh8g9b2,Cookies,medium,single,1,1,4,APPLY,DIAGNOSE,CODE_DIAGNOSIS,php,45,OUT-sh5sn773tmkx,CRS-7fa2behkxmf9,/docs/courses/lot-02/cookies,1,CODE_BLOCK_REQUIRED
QST-kk9459fpx2v0,lot-02-http.yml,lot-02,HTTP,OIT-bz1f5nh8g9b2,Cookies,hard,single,1,1,4,KNOW,RECOGNIZE,API_SIGNATURE,,45,OUT-v9x1yyn34t4x|OUT-sh5sn773tmkx,CRS-7fa2behkxmf9,/docs/courses/lot-02/cookies,1,CODE_INLINE_PRESENT
QST-vzjgas8c9fd1,lot-02-http.yml,lot-02,HTTP,OIT-tc39jp8japfc,Caching,hard,single,1,1,4,UNDERSTAND,DIAGNOSE,BEHAVIOR_PREDICTION,,45,OUT-8qect8jsygkg,CRS-e3j0d3a8ndrf,/docs/courses/lot-02/caching,1,CODE_INLINE_PRESENT
QST-m8byv8zcsa8m,lot-02-http.yml,lot-02,HTTP,OIT-tc39jp8japfc,Caching,hard,single,1,1,4,UNDERSTAND,DIAGNOSE,BEHAVIOR_PREDICTION,,45,OUT-m7sm7y26r3vk,CRS-e3j0d3a8ndrf,/docs/courses/lot-02/caching,1,READY_FOR_NEW_UI
QST-055ctb1t92na,lot-02-http.yml,lot-02,HTTP,OIT-mrvrtxm4v2m5,Content negotiation,medium,single,1,1,4,APPLY,DISTINGUISH,SCENARIO_CHOICE,,45,OUT-2brhvb6bgms5,CRS-dab7evz3fe29,/docs/courses/lot-02/content-negotiation,1,READY_FOR_NEW_UI
QST-8wjq9g6r7k3h,lot-02-http.yml,lot-02,HTTP,OIT-9kh5cqz5qtrb,Symfony HttpClient component,medium,single,1,1,4,KNOW,RECOGNIZE,API_SIGNATURE,,45,OUT-9vyq57j7gj6b,CRS-ez2qmqfk902e,/docs/courses/lot-02/symfony-httpclient-component,1,READY_FOR_NEW_UI
QST-cs5czk986ceh,lot-03-architecture.yml,lot-03,Symfony Architecture,OIT-y0ah7pq9c4hv,HttpFoundation component,medium,single,1,1,4,UNDERSTAND,DISTINGUISH,CONCEPT_DISTINCTION,,45,OUT-qr20ybf8za07,CRS-epx8j3fhb38n,/docs/courses/lot-03/httpfoundation-component,1,READY_FOR_NEW_UI
QST-811tsrpkggk6,lot-03-architecture.yml,lot-03,Symfony Architecture,OIT-y0ah7pq9c4hv,HttpFoundation component,medium,single,1,1,4,APPLY,DIAGNOSE,SCENARIO_CHOICE,,45,OUT-jgk2rwhep0vm,CRS-epx8j3fhb38n,/docs/courses/lot-03/httpfoundation-component,1,READY_FOR_NEW_UI
QST-eprt4675bxt3,lot-03-architecture.yml,lot-03,Symfony Architecture,OIT-132nwnh9c6bc,Symfony Flex,easy,single,1,1,4,KNOW,RECOGNIZE,DEFINITION_RECALL,,45,OUT-p7r2daxac21t,CRS-tyf3yfxjc3sa,/docs/courses/lot-03/symfony-flex,1,READY_FOR_NEW_UI
QST-2phg00bdwb17,lot-03-architecture.yml,lot-03,Symfony Architecture,OIT-347k8phdewem,License,easy,single,1,1,4,KNOW,RECOGNIZE,DEFINITION_RECALL,,45,OUT-h592sg3sr8rd,CRS-y84syktt20ww,/docs/courses/lot-03/license,1,READY_FOR_NEW_UI
QST-wc38szf5asj9,lot-03-architecture.yml,lot-03,Symfony Architecture,OIT-347k8phdewem,License,medium,single,1,1,4,UNDERSTAND,DISTINGUISH,SCENARIO_CHOICE,,45,OUT-580atmp6tp25,CRS-y84syktt20ww,/docs/courses/lot-03/license,1,READY_FOR_NEW_UI
QST-2wczm0rxvsj1,lot-03-architecture.yml,lot-03,Symfony Architecture,OIT-d416348gfhde,Components and Bridges,medium,single,1,1,4,UNDERSTAND,DISTINGUISH,CONCEPT_DISTINCTION,,45,OUT-21jyzfg4a961,CRS-1bxqx6ks853z,/docs/courses/lot-03/components-and-bridges,1,READY_FOR_NEW_UI
QST-anhjdyw3sw5z,lot-03-architecture.yml,lot-03,Symfony Architecture,OIT-p3p7te94qc1n,Code organization,easy,single,1,1,4,KNOW,RECOGNIZE,DEFINITION_RECALL,,45,OUT-yj8f9a5ncap4,CRS-156khyjssm25,/docs/courses/lot-03/code-organization,1,READY_FOR_NEW_UI
QST-ys2pndyx4es9,lot-03-architecture.yml,lot-03,Symfony Architecture,OIT-p3p7te94qc1n,Code organization,hard,single,1,1,4,APPLY,DIAGNOSE,SCENARIO_CHOICE,,60,OUT-yrbk1d6tvd4c,CRS-156khyjssm25,/docs/courses/lot-03/code-organization,1,READY_FOR_NEW_UI
QST-7b5q7zedg43v,lot-03-architecture.yml,lot-03,Symfony Architecture,OIT-7sewqvmw6468,Request handling,medium,single,1,1,4,KNOW,RECOGNIZE,SEQUENCE_ORDER,,45,OUT-3p88arwajsx7,CRS-mpwjc4g3vmj7,/docs/courses/lot-03/request-handling,1,READY_FOR_NEW_UI
QST-ewzwmzm44g5g,lot-03-architecture.yml,lot-03,Symfony Architecture,OIT-7sewqvmw6468,Request handling,medium,single,1,1,4,UNDERSTAND,DIAGNOSE,SCENARIO_CHOICE,,45,OUT-wzt3s8mkhkj9,CRS-mpwjc4g3vmj7,/docs/courses/lot-03/request-handling,1,READY_FOR_NEW_UI
QST-0rxv1000z941,lot-03-architecture.yml,lot-03,Symfony Architecture,OIT-xc4zfr70jjas,Exception handling,hard,single,1,1,4,APPLY,DIAGNOSE,BEHAVIOR_PREDICTION,,75,OUT-dbm0023ax4bv,CRS-kd67y4vnd0mm,/docs/courses/lot-03/exception-handling,1,CODE_INLINE_PRESENT
QST-y51441y0byrz,lot-03-architecture.yml,lot-03,Symfony Architecture,OIT-rd9b27fkb72r,Event dispatcher and kernel events,medium,single,1,1,4,KNOW,RECOGNIZE,BEHAVIOR_PREDICTION,,45,OUT-ces5mycxj5zx,CRS-2hpcy2rscq7m,/docs/courses/lot-03/event-dispatcher-and-kernel-events,1,READY_FOR_NEW_UI
QST-chxqtjssb1tr,lot-03-architecture.yml,lot-03,Symfony Architecture,OIT-rd9b27fkb72r,Event dispatcher and kernel events,hard,single,1,1,4,UNDERSTAND,DIAGNOSE,BEHAVIOR_PREDICTION,,60,OUT-xfcs32dwmgx2,CRS-2hpcy2rscq7m,/docs/courses/lot-03/event-dispatcher-and-kernel-events,1,CODE_INLINE_PRESENT
QST-7gk1cdmy0rxh,lot-03-architecture.yml,lot-03,Symfony Architecture,OIT-hzbednd04fd4,Official best practices,medium,single,1,1,4,UNDERSTAND,DISTINGUISH,SCENARIO_CHOICE,,45,OUT-bxcjgv614zqk,CRS-k2xvr11x936e,/docs/courses/lot-03/official-best-practices,1,READY_FOR_NEW_UI
QST-nz6jxdj32j14,lot-03-architecture.yml,lot-03,Symfony Architecture,OIT-hzbednd04fd4,Official best practices,hard,single,1,1,4,KNOW,DISTINGUISH,CONCEPT_DISTINCTION,,45,OUT-0b0m78g19vrs,CRS-k2xvr11x936e,/docs/courses/lot-03/official-best-practices,1,READY_FOR_NEW_UI
QST-z8vj7aat8jkk,lot-03-architecture.yml,lot-03,Symfony Architecture,OIT-vk57zg2wpep7,Backward compatibility promise,hard,single,1,1,4,UNDERSTAND,DIAGNOSE,CONCEPT_DISTINCTION,,60,OUT-92tk3wgmcgkc,CRS-21ec5kwrcmkm,/docs/courses/lot-03/backward-compatibility-promise,1,READY_FOR_NEW_UI
QST-daw9r7qrsmpc,lot-03-architecture.yml,lot-03,Symfony Architecture,OIT-vk57zg2wpep7,Backward compatibility promise,hard,single,1,1,4,APPLY,DIAGNOSE,SCENARIO_CHOICE,,60,OUT-z81y6z00tr3t,CRS-21ec5kwrcmkm,/docs/courses/lot-03/backward-compatibility-promise,1,READY_FOR_NEW_UI
QST-qyf1tg8cm0w6,lot-03-architecture.yml,lot-03,Symfony Architecture,OIT-ehf5zdnmdb1j,Deprecations best practices,medium,single,1,1,4,KNOW,RECOGNIZE,DEFINITION_RECALL,,45,OUT-crtr1pmq22t7,CRS-rkq1d437dw5d,/docs/courses/lot-03/deprecations-best-practices,1,READY_FOR_NEW_UI
QST-afrgkknny4fv,lot-03-architecture.yml,lot-03,Symfony Architecture,OIT-efzq92vdtayj,Framework overloading,hard,single,1,1,4,APPLY,DIAGNOSE,SCENARIO_CHOICE,,60,OUT-s8kw5gsv7y2e,CRS-f9s8mpaydnbx,/docs/courses/lot-03/framework-overloading,1,READY_FOR_NEW_UI
QST-bjgx2g2df63b,lot-03-architecture.yml,lot-03,Symfony Architecture,OIT-pk5s7cnhk776,Release management and roadmap schedule,medium,single,1,1,4,KNOW,RECOGNIZE,DEFINITION_RECALL,,45,OUT-bcjh1p7m06v1,CRS-6m32av3nr9eh,/docs/courses/lot-03/release-management-and-roadmap-schedule,1,READY_FOR_NEW_UI
QST-snvr37zq14z9,lot-03-architecture.yml,lot-03,Symfony Architecture,OIT-kcj9a5846b1s,Framework interoperability and PSRs,hard,single,1,1,4,UNDERSTAND,DIAGNOSE,SCENARIO_CHOICE,,60,OUT-sqrkr5sjqqz1,CRS-f74jcpnrrkhz,/docs/courses/lot-03/framework-interoperability-and-psrs,1,READY_FOR_NEW_UI
QST-0djgsnp61392,lot-03-architecture.yml,lot-03,Symfony Architecture,OIT-kcj9a5846b1s,Framework interoperability and PSRs,medium,single,1,1,4,KNOW,RECOGNIZE,DEFINITION_RECALL,,45,OUT-tga0d0zxwpvv,CRS-f74jcpnrrkhz,/docs/courses/lot-03/framework-interoperability-and-psrs,1,READY_FOR_NEW_UI
QST-0r834aw9wqn9,lot-03-architecture.yml,lot-03,Symfony Architecture,OIT-c9pjp03cv4bq,Naming conventions,easy,single,1,1,4,KNOW,RECOGNIZE,DEFINITION_RECALL,,45,OUT-2njr3rsw6g05,CRS-9g4qrgfs7nm4,/docs/courses/lot-03/naming-conventions,1,READY_FOR_NEW_UI
QST-8j24mgbaymwp,lot-03-architecture.yml,lot-03,Symfony Architecture,OIT-y0ah7pq9c4hv,HttpFoundation component,medium,single,1,1,4,UNDERSTAND,DISTINGUISH,CONCEPT_DISTINCTION,,45,OUT-m2fxjk4j2mc1,CRS-epx8j3fhb38n,/docs/courses/lot-03/httpfoundation-component,1,CODE_INLINE_PRESENT
QST-ctmxez1n2cj4,lot-03-architecture.yml,lot-03,Symfony Architecture,OIT-132nwnh9c6bc,Symfony Flex,medium,single,1,1,4,UNDERSTAND,DISTINGUISH,CONCEPT_DISTINCTION,,45,OUT-n6w2cz5vwgsw,CRS-tyf3yfxjc3sa,/docs/courses/lot-03/symfony-flex,1,READY_FOR_NEW_UI
QST-1v8pn7d8k0m7,lot-03-architecture.yml,lot-03,Symfony Architecture,OIT-p3p7te94qc1n,Code organization,easy,single,1,1,4,KNOW,RECOGNIZE,DEFINITION_RECALL,,40,OUT-gp7n5whkxyk0,CRS-156khyjssm25,/docs/courses/lot-03/code-organization,1,READY_FOR_NEW_UI
QST-7a895vbfsd6h,lot-03-architecture.yml,lot-03,Symfony Architecture,OIT-7sewqvmw6468,Request handling,hard,single,1,1,4,UNDERSTAND,DISTINGUISH,API_SIGNATURE,,60,OUT-ab41ar3ad6kf,CRS-mpwjc4g3vmj7,/docs/courses/lot-03/request-handling,1,CODE_INLINE_PRESENT
