topic,item,derived,parent,repo_id,lot,level,course_refs,flashcard_refs,question_refs,questions_owned,coverage,version,finding
Templating with Twig,Filters and functions,False,,OIT-sqekx9pkbe5v,lot-06,STANDARD,CRS-306ppg4454wj,,QST-kpt3rdmkphrw;QST-s6snn83ndr2e,3,FULL,Symfony 8.0,
Templating with Twig,Template includes,False,,OIT-ds2p5d4eg0pq,lot-06,STANDARD,CRS-w83y6pfa5edn,,QST-ds7wq19b5c0b;QST-kvtpnyrtd4xj,3,FULL,Symfony 8.0,
Templating with Twig,Loops and conditions,False,,OIT-84j0qwkbcgq6,lot-06,STANDARD,CRS-zbnzvqkhjknh,FLC-y4mtc33awnjy;FLC-n6w80mr1j8s1,QST-ectrc20a3daw;QST-12bq5dm5yc6s,3,FULL,Symfony 8.0,
Templating with Twig,URLs generation,False,,OIT-yh6zx9shv9vs,lot-06,MINIMAL,CRS-dpbpbgwjey5c,,QST-n45xyv1gqstp;QST-p2ceq2j1mg16,2,FULL,Symfony 8.0,
Templating with Twig,Controller rendering,False,,OIT-c34hn4px3czj,lot-06,STANDARD,CRS-yw6c5hq2mbax,,QST-s7bzj5nsnw1g;QST-nfe9sv3qesa2,3,FULL,Symfony 8.0,
Templating with Twig,Translations and pluralization,False,,OIT-sd08j04k60m0,lot-06,STANDARD,CRS-q18xc1k4yvb9,FLC-2qe2jetwm5pq,QST-6vv657ts3r2y;QST-q8q1ra28925h,3,FULL,Symfony 8.0,
Templating with Twig,String interpolation,False,,OIT-30gnb617ksex,lot-06,MINIMAL,CRS-dfyab4kpcapw,FLC-he6t8kt6dpva,QST-z1dcqdz8cm6a;QST-e8w4fyajxpm5,2,FULL,Symfony 8.0,
Templating with Twig,Assets management,False,,OIT-tw3xaqbz8xjy,lot-06,MINIMAL,CRS-ym86ptkhfgap,,QST-sgmgf58d4tja;QST-px35sagvb53s,2,FULL,Symfony 8.0,
Templating with Twig,Debugging variables,False,,OIT-3r7rp470754w,lot-06,MINIMAL,CRS-vx5kvfhs0p0s,FLC-f2fz5g5z16nj,QST-9qdj97kmt1m5;QST-tk7sqrt8mcwa,2,FULL,Symfony 8.0,
Forms,Form component,False,,OIT-tsxxgp3ppj1n,lot-07,STANDARD,CRS-txp6tjhjtfy8,,QST-a4xhs81g86kj;QST-174t76nj5hh1,3,FULL,Symfony 8.0,
Forms,Forms creation,False,,OIT-fhpttc4c5x0k,lot-07,STANDARD,CRS-8msvfwe13mpb,,QST-b4y5mz01a7na;QST-6ygjf6k55wpk,3,FULL,Symfony 8.0,
Forms,Forms handling,False,,OIT-mgvdw7cfpwyz,lot-07,STANDARD,CRS-nfkzx2s1n3r3,FLC-jsbfc1cnv01y,QST-zkgdt4kc1h0g;QST-fy9ptsw9q7d7,4,FULL,Symfony 8.0,
Forms,Form types (built-in and custom),False,,OIT-5xvjqa4203xe,lot-07,STANDARD,CRS-f9pen0bdyrr9,,QST-hhxx71xmb9jk;QST-yyzehfrg9w4n,3,FULL,Symfony 8.0,
Forms,Forms rendering with Twig,False,,OIT-gxew257vwhm8,lot-07,STANDARD,CRS-b5nj93xzz10b,FLC-yvey5gkx1zhd,QST-nnj43wzztp2y;QST-4915capts8mb,3,FULL,Symfony 8.0,
Forms,Forms theming,False,,OIT-j2vjdxcer4ft,lot-07,STANDARD,CRS-r3xywnpwrwh7,FLC-8yczcp0s4a1c;FLC-5g65x0xtgdn7,QST-6tbd9rk49r20;QST-psfqmcny5kpw,4,FULL,Symfony 8.0,
Forms,CSRF protection,False,,OIT-dmkbj2x94rks,lot-07,STANDARD,CRS-0yhqc0b1q7hz,,QST-z6w320n9hz0m;QST-8xa0cc55zffm,3,FULL,Symfony 8.0,
Forms,Handling file upload,False,,OIT-j6tqs8s8f54f,lot-07,MINIMAL,CRS-cpvcczhj7bzx,,QST-h3r0j23kcfbe;QST-5vpn3hptj28b,2,FULL,Symfony 8.0,
Forms,Built-in form types,False,,OIT-p810t98zedem,lot-07,MINIMAL,CRS-zsgx3tvpy1kn,,QST-kr1xezgf2gp6;QST-1hb2524n0hsk,2,FULL,Symfony 8.0,
Forms,Data transformers,False,,OIT-58r9dadx916v,lot-07,STANDARD,CRS-cj36gys6vatx,FLC-tta4ns1abpfy,QST-bj8py053ynmp;QST-xa0hazmsb5mc,3,FULL,Symfony 8.0,
Forms,Form events,False,,OIT-v7zyhcm44m88,lot-07,DEEP,CRS-b2pn9zz55e4n,FLC-e83vsz7hvkpp;FLC-7904k5rak62c;FLC-gg8d18g1cqqv,QST-ra9z9d42ddqa;QST-tv47j0hjexr0;QST-5x6x0fgxqk43,4,FULL,Symfony 8.0,
Forms,Form type extensions,False,,OIT-gcs0jathkv9b,lot-07,MINIMAL,CRS-k4ejsd624d1p,,QST-mc97gbqdk57v;QST-vp34fa6btm3y,2,FULL,Symfony 8.0,
Forms,Form options (OptionsResolver component),False,,OIT-rj9web4whgmz,lot-07,STANDARD,CRS-pchb259hnbh3,FLC-rpr50wc4n7f6,QST-7ef7528zsm5p;QST-0gsam1vp228d,3,FULL,Symfony 8.0,
Data Validation,Validator component,False,,OIT-6wd8860brzfy,lot-08,STANDARD,CRS-way4aktj2d5m,FLC-3sceej8y8a54,QST-ga6bhvbf0ecp;QST-m5f3k7za0tpt,3,FULL,Symfony 8.0,
Data Validation,PHP object validation,False,,OIT-d3yp0sq36xrx,lot-08,STANDARD,CRS-ax2v94pgbk0g,FLC-qb5nx97jkjav,QST-g22z7fmy0cg3;QST-6snh12yz2gz2,3,FULL,Symfony 8.0,
Data Validation,Built-in validation constraints,False,,OIT-9x3strrjdng7,lot-08,STANDARD,CRS-569y6hb7fwj5,FLC-7p2ygq8ft3x4,QST-9zsx244xw271;QST-fh0eh8ct9m8r,4,FULL,Symfony 8.0,
Data Validation,Validation scopes,False,,OIT-ttwpe00f32q9,lot-08,STANDARD,CRS-wzmrks85zyh1,FLC-swztaetynk4y,QST-5ryp5r5qg631;QST-6sxdmsbatps8,3,FULL,Symfony 8.0,
Data Validation,Validation groups,False,,OIT-kkhb3wd341ex,lot-08,STANDARD,CRS-vskyr5zdwr2t,FLC-mvq0exxwwfxa,QST-1c6zphv3dzgc;QST-znrf5tj46jjt,3,FULL,Symfony 8.0,
Data Validation,Group sequence,False,,OIT-rwavvsx2d7nq,lot-08,DEEP,CRS-bthv5xmh5wea,FLC-rstx3zwpz28w,QST-467dyvf9ht74;QST-h9d44gg643q8;QST-0hcwz5ma0vpr,5,FULL,Symfony 8.0,
Data Validation,Custom callback validators,False,,OIT-hcdrp2y7kbct,lot-08,STANDARD,CRS-96w05v20b8w1,FLC-6n0qg98nptxe,QST-mhm4eqjg10s2;QST-569d837g7cjg,3,FULL,Symfony 8.0,
Data Validation,Violations builder,False,,OIT-0wnxbapegqhv,lot-08,STANDARD,CRS-d235sja3h7y2,FLC-crtrxfbtxbrw,QST-egqjqhe0s1vv;QST-r3bv4np3ttcs,3,FULL,Symfony 8.0,
Dependency Injection,Dependency Injection component,False,,OIT-92ctf3sy3ddk,lot-09,STANDARD,CRS-htvm3b1gas0d,FLC-1y9kmkwvmjg7,QST-bkff08xmt369;QST-ttahda62q0me,3,FULL,Symfony 8.0,
Dependency Injection,Service container,False,,OIT-79f4n087b66c,lot-09,STANDARD,CRS-p1694d5f7r8c,FLC-cv9s7bswxrh8,QST-b9cxe8hzrxnz;QST-8cz03w4xazh4,3,FULL,Symfony 8.0,
Dependency Injection,Built-in services,False,,OIT-dy7108w6bf4z,lot-09,MINIMAL,CRS-jtkmpfp3nwzk,FLC-7xkwp2t1hefj,QST-0mgw5r64r7pf;QST-8ejeqdapg6aq,2,FULL,Symfony 8.0,
Dependency Injection,Configuration parameters,False,,OIT-ar4h3zfskjsp,lot-09,STANDARD,CRS-8zmj5ntgdhjv,FLC-kbnpt2sv2dss,QST-p6eftemqgsfx;QST-cb9sywaj1nde,3,FULL,Symfony 8.0,
Dependency Injection,Services registration (YAML and PHP attributes),False,,OIT-stze9x4aydp3,lot-09,STANDARD,CRS-g8fteyd38nrt,FLC-6a9ngbsfteyg,QST-gfqb0xrb7tbx;QST-q2p4t3hjc5x0,3,FULL,Symfony 8.0,
Dependency Injection,Service decoration,False,,OIT-adhs2ny9hc5f,lot-09,STANDARD,CRS-fkebqqqke5y5,FLC-xj1bfncctk1r,QST-3zf09tnf1rkj;QST-zbx19jnjr7gz,4,FULL,Symfony 8.0,
Dependency Injection,Tags,False,,OIT-83sac57rw0xn,lot-09,STANDARD,CRS-b4g5s2asb9ye,FLC-tv2t8a6yt50g,QST-t4bgmrx3q0cg;QST-wdn59cym1fv8,3,FULL,Symfony 8.0,
Dependency Injection,Semantic configuration,False,,OIT-qj4xfkhwdrx7,lot-09,STANDARD,CRS-exs5dvtqa1as,FLC-dmvk9r2pqhsg,QST-2q21a2srg5hr;QST-qzgxkh2b2pa5,3,FULL,Symfony 8.0,
Dependency Injection,Factories,False,,OIT-h2n7d7dbr56p,lot-09,STANDARD,CRS-1bkg7pkf78c7,FLC-j8n3qsftrmm5,QST-xw4d2n9a8hz5;QST-1ss1gkatj0te,3,FULL,Symfony 8.0,
Dependency Injection,Compiler passes,False,,OIT-3y0b9gxyandm,lot-09,DEEP,CRS-d25bvr0097py,FLC-3f3jxjqynjmj,QST-7ns2ad8j7z7a;QST-4nq445j72q7w;QST-q1jqvtzhr8ga,4,FULL,Symfony 8.0,
Dependency Injection,Services autowiring,False,,OIT-wm3qdqemtap9,lot-09,DEEP,CRS-w6yfxm6ad4zy,FLC-yze03t40rkqr,QST-mg33edgvxqrc;QST-egkw6pqr1hvq;QST-gscp8fh16xed,5,FULL,Symfony 8.0,
Dependency Injection,Service locators,False,,OIT-gkhcbtygef69,lot-09,STANDARD,CRS-0a0d5bp6769e,FLC-zn7hhaddbzd2,QST-gkhpzxneegbr;QST-qh1cbg5wp55k,3,FULL,Symfony 8.0,
Security,"Security Core, CSRF and PasswordHasher components",False,,OIT-942znmbjwvad,lot-10,STANDARD,CRS-awb7sd999c5j,FLC-pd0dmdcagt1k,QST-xe6gkw0420ba;QST-wfkk6ayjt3qb,3,FULL,Symfony 8.0,
Security,Authentication,False,,OIT-z9c24d68et6w,lot-10,STANDARD,CRS-rdzx4ka72saj,FLC-y9jp85bpbh2v,QST-472n92c01v8z;QST-eazddxd7m5ht,3,FULL,Symfony 8.0,
Security,Authorization,False,,OIT-3qgn13f7zvqx,lot-10,STANDARD,CRS-8hwpzyk1hrq9,FLC-qtz62rzb36q3,QST-71pfa2rprjj4;QST-ty80h8rawm9h,3,FULL,Symfony 8.0,
Security,Configuration,False,,OIT-xh63g15rz6n3,lot-10,STANDARD,CRS-yvhg325ax38y,FLC-paer6jdxzr95,QST-xpq3ys8psrac;QST-2eztey3aja7g,3,FULL,Symfony 8.0,
Security,Providers,False,,OIT-45p7535dk4s2,lot-10,STANDARD,CRS-enbbsykx22xe,FLC-zpyvxwvf1x8a,QST-f49jfgm58qr0;QST-b10yfhxnfhh6,3,FULL,Symfony 8.0,
Security,Firewalls,False,,OIT-rwa6m06crs1h,lot-10,STANDARD,CRS-x5frtpg07mmd,FLC-9j0hj0sv3c6j,QST-qyh60jqm5etd;QST-rpz1syn7rpsv,4,FULL,Symfony 8.0,
Security,Users,False,,OIT-gkh08ztwdme1,lot-10,STANDARD,CRS-n9ngfssrq1bt,FLC-ygn9w70dncp1,QST-62t90ghtbqzj;QST-fy4096tmhna5,3,FULL,Symfony 8.0,
Security,Password hashers,False,,OIT-ta627mbwfz7m,lot-10,STANDARD,CRS-g4sth72ww979,FLC-y8dwv3bw5s2b,QST-cqx6wvrkts6w;QST-k73jk5cstrtv,3,FULL,Symfony 8.0,
Security,Roles,False,,OIT-fw6db7ryrk4q,lot-10,MINIMAL,CRS-2s6e4qgkcqza,FLC-dxqgyh6g3w9z,QST-n2z3zbszfmvt;QST-1cerp5ba1czy,2,FULL,Symfony 8.0,
Security,Access Control Rules,False,,OIT-cwfr5t1ngj23,lot-10,STANDARD,CRS-2ec5yksjfm9s,FLC-1vc4j2vszk96,QST-np172gaybtec;QST-8grwagdms0k7,3,FULL,Symfony 8.0,
Security,"Authenticators, Passports and Badges",False,,OIT-s3jh7wg5km19,lot-10,DEEP,CRS-6gc45etcssfb,FLC-d0cpf8zrpcbj,QST-5darxtca2dmf;QST-3v9qvehmpvj3,4,FULL,Symfony 8.0,
Security,Voters and voting strategies,False,,OIT-kqm5mxq4jnkj,lot-10,DEEP,CRS-y3g0v9nmne3t,FLC-kmf16st6cbrg,QST-bff9s30tjw46;QST-qmjm8vzvrzh9;QST-c8gpyvw5shmy,5,FULL,Symfony 8.0,
